Date,Close,Open,High,Low,Vol.,Change %
14/07/2023,964.09,956.95,964.69,956.27,4.60B,0.0075
17/07/2023,964.36,964.11,972.74,964.11,7.03B,0.0003
18/07/2023,958.37,964.36,970.31,952.68,5.60B,-0.0062
20/07/2023,961.53,958.34,965.3,957.67,3.28B,0.0033
21/07/2023,963.38,961.53,963.38,956.02,3.41B,0.0019
24/07/2023,962.43,963.38,968.96,962.13,4.21B,-0.001
25/07/2023,963.85,962.14,970.5,962.14,4.04B,0.0015
26/07/2023,969.29,963.85,969.89,962.95,3.32B,0.0056
27/07/2023,959.27,969.29,973.5,959.27,3.01B,-0.0103
28/07/2023,961.66,959.3,961.66,954.06,2.74B,0.0025
31/07/2023,965.62,961.66,966.93,960.45,4.44B,0.0041
1/8/2023,963.46,965.57,968.3,961.32,3.94B,-0.0022
2/8/2023,960.14,963.46,963.46,956.63,4.11B,-0.0034
3/8/2023,967.03,960.14,972.24,956.87,2.98B,0.0072
4/8/2023,958.97,967.06,969.98,958.97,2.47B,-0.0083
7/8/2023,966.4,958.97,969.81,958.97,3.04B,0.0077
8/8/2023,961.86,966.43,970.42,960.85,4.87B,-0.0047
9/8/2023,965.3,961.86,968.2,961.86,9.88B,0.0036
10/8/2023,966.48,965.3,971.41,964.62,6.02B,0.0012
11/8/2023,964.35,966.48,968.89,962.24,4.77B,-0.0022
14/08/2023,968.66,964.35,968.66,954.17,3.32B,0.0045
15/08/2023,966.25,968.72,969.93,963.06,5.51B,-0.0025
16/08/2023,963.91,966.25,966.25,955.59,5.00B,-0.0024
18/08/2023,956.71,963.77,963.77,956.71,3.65B,-0.0075
21/08/2023,953.74,956.74,961.25,953.74,4.97B,-0.0031
22/08/2023,962.96,953.74,965.68,952.54,3.51B,0.0097
23/08/2023,960.13,962.96,967.66,960.13,4.37B,-0.0029
24/08/2023,956.34,960.13,963.71,956.34,3.76B,-0.0039
25/08/2023,956.72,956.34,958.71,951.95,2.96B,0.0004
28/08/2023,958.28,956.8,962.74,956.8,2.33B,0.0016
29/08/2023,964.03,958.28,965.43,958.28,7.10B,0.006
30/08/2023,963.92,964.11,973.52,963.92,3.55B,-0.0001
31/08/2023,962.25,963.92,967.12,957.47,9.77B,-0.0017
1/9/2023,966.96,962.25,970.29,961.65,3.13B,0.0049
4/9/2023,969.92,966.99,972.01,965.9,2.32B,0.0031
5/9/2023,968.67,969.92,972.38,965.76,2.53B,-0.0013
6/9/2023,967.19,968.67,973.53,967.19,3.21B,-0.0015
7/9/2023,959.47,967.22,967.71,954.4,7.64B,-0.008
8/9/2023,952.38,959.47,961.06,947.61,3.24B,-0.0074
11/9/2023,958.72,952.38,958.72,949.22,5.59B,0.0067
12/9/2023,953.46,958.72,960.68,952.3,3.82B,-0.0055
13/09/2023,954.23,953.49,954.41,947.79,3.63B,0.0008
14/09/2023,955.61,954.2,958.06,951.33,3.33B,0.0015
15/09/2023,961.2,955.59,966.14,953.51,8.40B,0.0059
18/09/2023,955.85,961.2,964.4,955.04,3.61B,-0.0056
19/09/2023,965.04,955.91,968.39,955.73,2.22B,0.0096
20/09/2023,970.43,965.04,978.71,965.04,3.72B,0.0056
21/09/2023,966.66,970.43,972.77,964.66,3.15B,-0.0039
22/09/2023,968.15,966.66,973.96,965.03,2.43B,0.0015
25/09/2023,962.6,968.18,970.09,962.6,3.14B,-0.0057
26/09/2023,952.4,962.55,966.41,950.33,7.29B,-0.0106
